"","SpeciesSSet","Freq","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Alces_americanus","Alces_americanus",46,1,0.0168536241184429,0.0155647941835655,0.0149177838218424,0.0153260359750966,0.0164257499303107,0.000320463633416868,-0.000907834728597123,-0.00368146856975327,-0.00665826843875861,-0.00871471525132606,-0.0101360365659318,-0.0106447711187005,-0.0096014540754803,-0.00702959248428048,-0.00443633631200591,-0.00412479901983875,-0.00671099172910772,-0.0101048606273677,-0.0114959664399263,-0.0100128002028352,-0.00708124322414161,-0.00456325532617541,-0.00312685539781654,-0.00234195230114675,-0.00173029299207883,-0.00131829042657738
"Balaenoptera_musculus","Balaenoptera_musculus",40,1,0.00280947840790491,0.0025124679394109,0.00211966032684568,0.00153338036025963,0.000305838739304176,-0.0018778204243671,-0.00497182589587056,-0.00867250916051893,-0.0126458674192358,-0.0166595750896295,-0.0205715436098644,-0.0242989614215544,-0.0275752001214238,-0.030188466983031,-0.0321314317368207,-0.0334934816639463,-0.0346351248577915,-0.0357410755862245,0.0152812318402948,0.0138318791581935,0.0129066410937124,NA,NA,NA,NA,NA
"Balaenoptera_physalus","Balaenoptera_physalus",18,1,-0.129694183061032,-0.131777280960955,-0.134357121033036,-0.137098330715061,-0.138569511634026,-0.138215435716123,-0.136582063112502,-0.133825695393129,-0.128219363978717,-0.116308097979116,-0.0950590092543186,-0.0644237549743623,-0.027542334382828,0.0103814049051905,0.0448620921073632,0.0749186333472931,0.100199218124054,0.12063111353644,0.135864458933682,0.145804454518329,0.150558884297139,NA,NA,NA,NA,NA
"Blarina_brevicauda","Blarina_brevicauda",64,1,-0.0164105497443646,-0.0274167270802732,-0.0352686310952063,-0.0405126071367365,-0.0430531621837014,-0.0044205659948745,-0.00442056599492147,-0.00442056599496077,-0.0044205659949843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canis_lupus","Canis_lupus",107,1,-0.0174143199191245,-0.0171002573978588,0.0142285430178564,-0.0052814384820241,-0.00743371364286087,-0.00697252076230618,-0.00490993752044663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delphinus_delphis","Delphinus_delphis",18,1,-0.0635648780034828,-0.0631875814621921,-0.0626034433053144,-0.0617662852558656,-0.0604889922029492,-0.0587589757272233,-0.0567913393515396,-0.0548004057774574,-0.0527274120086711,-0.0501828216679125,-0.0467276887756001,-0.0423030987689055,-0.0371340691608053,-0.03173807127018,-0.0266400333884105,-0.02198375889005,-0.0179321163383102,-0.0146186614159858,-0.0121585207727355,-0.0105759005795769,-0.00984206405200538,NA,NA,NA,NA,NA
"Globicephala_melas","Globicephala_melas",18,1,0.0243354736407559,0.0243354736407575,0.0243354736407577,0.0243354736407537,0.0243354736407442,0.0243354736407295,0.024335473640712,0.0243354736406953,0.0243354736406756,0.0243354736406531,0.024335473640628,0.0243354736406058,0.0243354736406021,0.0243354736406263,0.0243354736406785,0.0243354736407511,0.0243354736408221,0.0243354736408739,0.0243354736409067,0.0243354736409217,0.0243354736409226,NA,NA,NA,NA,NA
"Halichoerus_grypus","Halichoerus_grypus",50,1,0.0522259609721578,0.052487927726439,0.052611686514493,0.0524870735118999,0.0520963795385398,0.0513487199085221,0.0499001994559167,0.0473456303575341,0.0436949966362725,0.0395354150518843,0.0356335563997918,0.0324656158936758,0.0301366466872759,0.0285207597457058,0.0273159049742349,0.0261359154430325,0.0248006918992951,0.0235199444737866,0.0226475892268603,0.0222873546892384,NA,NA,NA,NA,NA,NA
"Lagenorhynchus_acutus","Lagenorhynchus_acutus",18,1,-0.0537544326074735,-0.0533342437553539,-0.0526368865086462,-0.0516652952362666,-0.0504501662049592,-0.0490934388897728,-0.0477139750819267,-0.0463423067140398,-0.0448577898728617,-0.0430378964794405,-0.0407047887251955,-0.0378686482057218,-0.0347761430255635,-0.0318165405187418,-0.0293223797652438,-0.027362140064664,-0.0259274615538929,-0.0249168522687446,-0.0242068981083765,-0.0237716418670932,-0.0235920602787452,NA,NA,NA,NA,NA
"Megaptera_novaeangliae","Megaptera_novaeangliae",40,1,-0.0348230199023649,-0.0652380104997727,-0.0854173660109562,-0.0819168254602932,-0.0486776453264008,-0.00357290337496452,0.0201848069082922,0.00485530113573729,-0.0340255343785386,-0.064384523149927,-0.0681116192833042,-0.050958639252599,-0.0276528251818301,-0.00682297773453089,0.00871626568599004,0.0164556724237144,0.0159533821835793,0.0126569720894132,-0.0622195970740154,-0.0617834887089721,-0.0616233907982551,NA,NA,NA,NA,NA
"Myodes_gapperi","Myodes_gapperi",61,1,0.236126124569255,0.228405045820034,0.14354640938007,0.0501917672029593,-0.000905054158131691,NA,NA,NA,NA,NA,NA,0.332361908821618,0.296830272001778,0.222503421591976,0.115147741058806,-0.01059182587188,-0.133179620020669,-0.227970836023163,-0.276745392328841,NA,NA,NA,NA,NA,NA,NA
"Myotis_lucifugus","Myotis_lucifugus",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141989577424094,0.141989577424094,0.141989577424094,-0.0871464575467229,-0.0871464575467229,-0.0871464575467229,-0.0871464575467231,-0.0871464575467229,-0.0871464575467229,0.425968732272281,-0.660051938305649,-1,NA,NA,NA
"Napaeozapus_insignis","Napaeozapus_insignis",43,1,0.177832279910797,0.186400393739427,0.186559954651766,0.184182597394253,0.182752254860056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Odocoileus_virginianus","Odocoileus_virginianus",23,1,0.00444995726758673,0.00405830471985436,0.00363964573627495,0.00321112865340301,0.00272722612864645,0.00211251407283652,0.00133958090246178,0.000458615298748855,-0.000457791419700759,-0.00137377795836685,-0.00226752641064654,-0.00306741619725481,-0.0036602988142323,-0.00398550094764061,-0.0040969909086559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peromyscus_maniculatus","Peromyscus_maniculatus",19,1,-0.00735971131520419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phoca_vitulina","Phoca_vitulina",8,1,NA,-0.1154015902913,-0.115401590291861,-0.115401590292794,-0.115401590293716,-0.115401590294332,-0.115401590294603,-0.115401590294668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Phocoena_phocoena","Phocoena_phocoena",18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rangifer_tarandus","Rangifer_tarandus",138,1,-0.00462255895481162,-0.00568049432393297,-0.00517854037272392,-0.0042297152469189,-0.00542660744062679,-0.00923394610920669,-0.0136114927408334,-0.0119153413038084,-0.0151732049228871,-0.017173528630955,-0.0172448164616791,-0.0168744220831716,-0.0191903435182782,-0.0238199832446444,-0.0256721385110823,-0.0212272218077921,-0.0133023741141958,-0.00707047107470204,-0.0172902872398084,-0.0148193992485841,-0.0140853520128355,-0.0163161429078076,-0.0196385032431383,-0.00908043414871607,-0.0117309496138844,-0.0134874031275309
"Sorex_cinereus","Sorex_cinereus",43,1,0.00620146137092067,0.00627174685470122,0.00636721210937254,0.00648621041986361,0.00657227462695271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tamias_striatus","Tamias_striatus",43,1,0.028739338120136,0.0344675358173654,0.0402422925013721,0.0446971360412913,0.0466723244984923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tamiasciurus_hudsonicus","Tamiasciurus_hudsonicus",19,1,-0.0342860054617584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
